Domain,area,keywords,Abstract
Medical , Depression  , Multispectral imaging; Monte Carlo simulation; reduced scattering coefficient; absorption coefficient; hemodynamics; particle sizing; tissue morphology        ,"We investigated a quantitative imaging of reduced scattering coefficients mu(s)'(lambda) and the absorption coefficients mu(a)(lambda) of in vivo cortical tissues in the range from visible to near-infrared (NIR) wavelengths based on diffuse reflectance spectral imaging technique. In this method, diffuse reflectance images of in vivo cortical tissue are acquired at nine wavelengths (500, 520, 540, 560, 570, 580, 600, 730, and 760 nm). A multiple regression analysis aided by the Monte Carlo simulation for the absorbance spectra is then utilized to estimate the optical coefficients of cortical tissue. This analysis calculates the concentration of oxygenated hemoglobin and that of deoxygenated hemoglobin, the scattering amplitude a and the scattering power b. The spectrum of absorption coefficient is deduced from the estimated concentrations of oxygenated hemoglobin and deoxygenated hemoglobin. The spectrum of reduced scattering coefficient is determined by the estimated scattering amplitude and scattering power. The particle size distribution of microstructure is calculated from the estimated scattering power b for evaluating the morphological change in brain tissue quantitatively. Animal experiments with in vivo exposed brain of rats demonstrated that the responses of the absorption properties to hyperoxic and anoxic conditions are in agreement with the expected well-known cortical hemodynamics. The average particle size was significantly reduced immediately after the onset of anoxia and then it was changed into an increase, which implied the swelling and shrinkage of the cellular and subcellular structures induced by loss of tissue viability in brain tissue."
Civil , Remote Sensing  , Convolutional neural network (CNN); object localization; remote sensing images; unsupervised score-based bounding box regression (USB-BBR)        ,"In this paper, we focus on tackling the problem of automatic accurate localization of detected objects in high-resolution remote sensing images. The two major problems for object localization in remote sensing images caused by the complex context information such images contain are achieving generalizability of the features used to describe objects and achieving accurate object locations. To address these challenges, we propose a new object localization framework, which can be divided into three processes: region proposal, classification, and accurate object localization process. First, a region proposal method is used to generate candidate regions with the aim of detecting all objects of interest within these images. Then, generic image features from a local image corresponding to each region proposal are extracted by a combination model of 2-D reduction convolutional neural networks (CNNs). Finally, to improve the location accuracy, we propose an unsupervised score-based bounding box regression (USB-BBR) algorithm, combined with a nonmaximum suppression algorithm to optimize the bounding boxes of regions that detected as objects. Experiments show that the dimension-reduction model performs better than the retrained and fine-tuned models and the detection precision of the combined CNN model is much higher than that of any single model. Also our proposed USB-BBR algorithm can more accurately locate objects within an image. Compared with traditional features extraction methods, such as elliptic Fourier transform-based histogram of oriented gradients and local binary pattern histogram Fourier, our proposed localization framework shows robustness when dealing with different complex backgrounds."
biochemistry , Northern blotting  , Beet black scorch virus; infectious cDNA clone; coat protein; pathogenicity        ,"A full-length Beet black scorch virus (BBSV) cDNA clone (pUBF52) was constructed by RT-PCR. The clone contains an upstream T7 RNA polymerase promoter designed for in vitro transcription of infectious RNAs from the linearized plasmid that faithfully represent the viral cDNA. Leaves of Chenopodium amaranticolor inoculated with in vitro transcripts developed the same symptoms and disease phenotype as the wild type virus. The presence of BBSV RNA and coat protein in the leaves was confirmed respectively by Northern blotting and Western blotting. Comparisons of specific immunoreactions between the expression product of the BBSV p24 gene in E. coli and antiserum against purified BBSV virions demonstrated that the p24 gene encodes the coat protein. Based on the sequence of the pUBF52 cDNA, a frame-shift mutant and two deletion mutants were generated. One of the deletions encompasses the entire CP ORF and the other truncates 174 amino acids from the central region of the protein. Transcripts derived from the frame-shift CP mutant, which terminates the CP after the first 23 amino acids, elicited the same symptom phenotype and levels of RNA accumulation as the wild type virus, but the leaves infected with the CP deletion mutants exhibited greatly reduced RNA accumulation. In addition, leaves inoculated with in vitro transcripts of the mutant in which the entire CP gene was deleted had lower local lesions than wild type virus transcripts. Two expression vectors, pBGFP and pBGUS, were constructed by fusing the GFP and GUS genes to the 23 N-terminal amino acids of the CP gene, respectively. Leaves infected with in vitro transcripts of pBGFP and pBGUS exhibited expression of GFP and GUS proteins as assessed by laser confocal microscopy and histochemical staining, respectively. The high levels of expression of the GFP and GUS proteins provide tools that can be used for studies of replication and movement of the virus, and indicate that BBSV has considerable biotechnology potential as a plant virus expression vehicle."
Medical , Skin Care  , gloves; individual prevention; hand eczema; massage; occupational exposure; occupational health; occupational skin diseases; protection measure        ,"Background: Physiotherapists have an occupationally elevated risk of dermatoses. One aim of skin care seminars for specific professional groupsin individual prevention programme in Germany is to ensure appropriate use of safety measures during patient treatment. Initially physiotherapists often think skeptically about the use of gloves and patients' acceptance of this protective measure. So the objective of this study was to assess the practicality of glove use during physiotherapy (qualitative investigation) and customer acceptance of them during massage (quantitative investigation). Methods: Structured problem-focused interviews about glove usage were held with 20 skin diseased physiotherapists and masseurs after skin care seminars. The data was evaluated inductively using Mayring's qualitative content analysis. The clients' acceptance was tested in a controlled randomized three setting study with 120 subjects who received a back massage and evaluated quality aspects of their massage in a questionnaire. The physiotherapist was wearing either gloves of PVC, gloves made of nitrile rubber or no gloves at all. A non-inferiority test was used to test group differences. Result: The majority of participating physiotherapists considered the use of protective gloves a practical and useful measure. However, occasional problems in everyday practice and in special therapy methods were reported. The analysis of 120 questionnaires (100% response rate) for quality aspects and the willingness to pay regarding client acceptancein a massage - with or without gloves - showed a non-inferiority result for massages with gloves. Conclusion: Convincing individual physiotherapists of the benefits of wearing gloves is crucial for implementation of this preventive measure. It is improbable that patients would refuse services because therapists wear gloves during treatments. Consequently, the usage of gloves is unlikely to result in a loss of practice custom."
ECE , Electrical generator  , Transverse flux; TFPM; Ocean wave energy; Low Speed; Generator; Finite elements        ,"Modern energy demands led the scientific community to renewable energy sources, such as ocean wave energy. The present work describes a model for a cost efficient rotary electrical generator, optimized for ocean wave energy conversion. The electrical power, supplied by low speed mechanical movement, requires the use of electrical machinery capable of generating high amounts of torque. Among the analyzed topologies, the one selected for further study was the Transverse Flux Permanent Magnet machine (TFPM). This topology differs from the conventional ones, presenting high power and torque densities, and allowing to independently set machine current and magnetic loadings in the machine. The machine was designed and analyzed through the use of a 3D FEM software. The obtained results show that the TFPM is a strong candidate to be used in large scale converting systems."
Medical , Low Testosterone  , Testosterone; Cardiovascular Diseases; Erectile Dysfunction; Hypogonadism; Testosterone Deficiency; Metabolic Syndrome X; Abdominal Obesity; Diabetes Mellitus; Hypertension; Hypercholesterolemia        ,"Introduction Testosterone deficiency syndrome (TDS) is usually suspected on the basis of signs/symptoms. However, some men with low testosterone levels (low T) are asymptomatic or present mild, unnoticed symptoms. Would they have the same cardiovascular risk as symptomatic men? Aims This study aims to assess the relationship between presence/severity of low T-related symptoms and the likelihood of metabolic syndrome (MetS). Methods Data were taken from a multicenter, cross-sectional study conducted in Spain among men visiting men's healthcare offices aged 45 with low T (total T <8nmol/L or <12nmol/L and calculated free T <250nmol/L). Only subjects whose MetS components and symptoms had been assessed were selected. Data available included anthropometrics, toxic habits, comorbidities, and total testosterone (TT) levels. Main Outcome Measures MetS was defined using the harmonized definition. Erectile dysfunction was classified using the International Index of Erectile Function questionnaire. The Ageing Male Symptoms (AMS) scale assessed symptoms. Symptom severity was classified as none/mild and moderate/severe. Bivariate and multivariate logistic regression analyses were performed to calculate the effect of moderate/severe symptoms on the odds ratio (OR) for MetS. Results Mean age (SD) was 61.2 (8.1) years. Erectile dysfunction (ED), AMS, and MetS prevalence were 97.4%, 94.9%, and 69.6%. Prevalence of MetS was higher in men with moderate/severe symptoms vs. men with no/mild ones (75.3% vs. 57.9%, P<0.001). Age and prevalence of TT <8nmol/L, moderate/severe ED, and obesity were significantly higher in men with moderate/severe symptoms. Multivariate analysis showed that besides obesity and moderate/severe ED, moderate/severe symptoms increased the likelihood of MetS. This effect disappeared in men with severe ED and in the nonobese. Three symptoms showed relationship with MetS after adjusting for all confounding factors. Conclusion Severity of TDS symptoms may indicate higher cardiovascular risk in men with low T. Garcia-Cruz E, Leibar-Tamayo A, Romero-Otero J, Asiain I, Carrion A, Castaneda R, Mateu L, Luque P, Cardenosa O, and Alcaraz A. Marked testosterone deficiency-related symptoms may be associated to higher metabolic risk in men with low testosterone levels. J Sex Med 2014;11:2292-2301."
Civil , Remote Sensing  , Moon; water; hydroxyl; infrared spectroscopy; remote sensing        ,"Water and/or hydroxyl detected remotely on the lunar surface originates from several sources: (i) comets and other exogenous debris; (ii) solar-wind implantation; (iii) the lunar interior. While each of these sources is interesting in its own right, distinguishing among them is critical for testing hypotheses for the origin and evolution of the Moon and our Solar System. Existing spacecraft observations are not of high enough spectral resolution to uniquely characterize the bonding energies of the hydroxyl molecules that have been detected. Nevertheless, the spatial distribution and associations of H, OH-or H2O with specific lunar lithologies provide some insight into the origin of lunar hydrous materials. The global distribution of OH-/H2O as detected using infrared spectroscopic measurements from orbit is here examined, with particular focus on regional geological features that exhibit OH-/H2O absorption band strengths that differ from their immediate surroundings. This article is part of the themed issue 'The origin, history and role of water in the evolution of the inner Solar System'."
Medical , Skin Care  , Collagen Peptides; Carboxymethyl Chitosan; Microspheres; Irradiation Resistance; Histological Analysis        ,"Type I collagen peptides were prepared by hydrolysis of type I collagen protein with different enzyme combinations and this study found that the peptides obtained by papain/pepsin/trypsin combination hydrolysis were of the strongest anti-X-ray capability. The collagen peptides-carboxymethyl chitosan (CP-CMC-CaCl2) microspheres were prepared by emulsification method and used to investigate the effects on mice skin damages in vitro and in vivo. In vitro experiments indicated that the CP-CMC-CaCl2 microspheres had a protective effect on the X-ray irradiated damages of mice thymus lymphocytes. The mice skin surface texture morphological and histomorphological analysis showed a consistent result that the CP-CMC-CaCl2 microspheres played a certain role in the prevention of UV-B irradiated skin damages and could also improve ultraviolet prevention ability. Besides., the preventive function was better than its repair function. It is possible to improve the preventive function to skin photoaging and play a better effectiveness of cosmetic skin care by adding the CP-CMC-CaCl2 microspheres into make-up cosmetics as a natural antioxidant resource."
MAE , Hydraulics  , Hydropower station system; Coupled hydraulic-mechanical-electric model; Dynamic characteristics analysis        ,"A nonlinear dynamic coupled model for hydropower station system, which contains the model of water-carriage system, water turbine system, speed governor system, generator's electromagnetic system, grid, shaft system of hydroelectric generating set, as well as the powerhouse, is established in this paper. Firstly, the simultaneous differential equations for coupled hydraulic-mechanical-electric transient process are set up based upon the theories of hydraulics, electrical machinery, etc., while the coupled structural models for shaft system of unit and powerhouse are built by means of finite element method. Secondly, a new method for investigating nonlinear dynamic properties of structures influenced by coupled hydraulic-mechanical-electric factors in different conditions is introduced with the help of user-programmable features from Ansys software. Finally, in order to verify the rationality, several numerical calculation methods are used to study the starting-up process of hydropower station. The results indicate that the model presented in this paper is adoptable for simulating specified condition and reflect the nonlinear dynamic characteristics of hydropower station comprehensively. In addition, the model can also be used to assess the operation safety and predict the structures reliability of hydropower station system, so as to provide some profitable reference for dynamic regulation during limited and transient conditions for hydropower station."
Psychology  , Attention  , ADHD; DRD4; DAT1; VNTR        ,"The dopamine receptor-D4 and the dopamine transporter have been investigated for their role in attention deficit hyperactivity disorder (ADHD) in children. Reports of their genetic association with ADHD have shown mixed results. The aim of the study was to evaluate the association of variable number tandem repeats (VNTRs) of the DRD4 and DAT1 genes with ADHD in children. A pilot 1:1 case control study, with 44 clinically confirmed ADHD cases and 44 age/gender matched healthy controls, was conducted at a tertiary care centre in Mumbai. Variable number tandem repeats of DRD4 exon 3, DAT1 intron 8 and 3'UTR were genotyped by PCR-AGE. Several allele repeats of the genes were observed in the screened subjects. Statistical significance was observed for the 10R/10R genotype of the DAT1 3'UTR VNTR between cases and controls."
Medical , Sports Injuries  , Sports injury; Athletes; Postural stability        ,"[Purpose] The aim of this study was to analyze stabilometry in athletes during an indoor season in order to determine whether injured athletes show different stabilometric values before injury than non-injured athletes in two different training periods (volume and pre-competition periods). [Subjects] The subjects were 51 athletes from Unicaja athletic club who trained regularly. [Methods] At the end of the preseason and volume periods, athletes were subjected to bipodal and monopodal stabilometry. In addition, all injuries happening in the periods after performing stabilometry (volume and pre-competition periods) were tracked. [Results] Variance analysis of bipodal stabilometric measurements taken at the end of the preseason period showed that athletes with higher values for the center-of-pressure spread variables suffered injuries during the volume period. The right-leg monopodal stabilometric measurements taken at the end of the volume period showed that athletes with higher values in the center-of-pressure position variables suffered injuries during the pre-competition period. [Conclusion] Athletes showing the worst values for center-of-pressure spread variables are more prone to sports injuries in the subsequent training period. In monopodal measurements, athletes with poorer mediolateral stability were more prone to injuries in the subsequent training period."
Medical , Senior Health  , Ankle range of motion; Balance; TETRAX        ,"[Purpose] This study examined the influence of range of motion of the ankle joints on elderly people's balance ability. [Methods] We conducted a four-week experiment using 60 out of the 89 elderly people who used B senior health facility, as subjects. TETRAX stability, synchronization were conducted to measure balance ability. We examined correlations between TETRAX balance and ankle joint ROM. Student's t-test and Pearson correlation coefficients were used for the statistical analyses. [Results] There were significant correlations between measurement items of TETRAX stability and synchronization and movement of the ankle joint. [Conclusion] It was found that as had plate was stable in measurement using ankle joint ROM and TETRAX after closing eyes, balance was maintained with Dorsi Flexion."
CS , Computer graphics  , 3D images; Virtual reality; Smoothness        ,"[Purpose] This study verified that the smoothness of reaching movements is able to quantitatively evaluate the effects of two-and three-dimensional images on movement in healthy people. In addition, clinical data of cerebrovascular accident patients were also analyzed by the same method. [Subjects] Ten healthy adult volunteers and two male patients with previous cerebrovascular accidents participated. [Methods] The subjects were tasked with reaching for objects shown on a display. The target and virtual limb, rendered with computer graphics, were shown on the display. Movements of the virtual limb were synchronized with those of the subject. Healthy subjects reached for targets with their dominant arm, and cerebrovascular accident patients used their paretic arm. A polarized display and polarized glasses were used when the subjects were shown three-dimensional images. In the present study, jerk cost was used to quantify the smoothness of movement. [Results] Six of the 10 healthy subjects had significantly smoother reaching movements when viewing the three-dimensional images. The two cerebrovascular accident patients tended to have smoother movements in response to the three-dimensional images. [Conclusion] Analysis of the smoothness of movement was able to detect the influence of the depth cue in vision on movement quantitatively for the healthy subjects and cerebrovascular accident patients."
ECE , Digital control  , active power filter; vector resonant controller; digital design        ,"\There are many factors that affect the performance of active power filter, which is a key factor for command current tracking control. Aiming at the deficiency of traditional PR controller, this paper puts forward an improved PR controller-vector resonant controller. The controller has the advantages of stronger anti-interference ability and greater gain at the resonance point, and it can improve the accuracy of harmonic compensation in the current compensation control. In this paper, the digital controller in the digital control system has been given a detailed design. Finally, the experimental results show that the control strategy can further reduce the harmonic content and improve the compensation accuracy."
biochemistry , Human Metabolism  , ALUMINUM; GALLIUM; INJECTION; RETENTION; EXCRETION        ,"1 Al-26 and Ga-67 were given as citrates to a healthy male volunteer by intravenous injection. The retention of both tracers was studied by body radioactivity measurement. Levels in blood and excreta were determined by gamma-ray spectrometry and/or accelerator mass spectrometry. 2 More than half of the Al-26 had left the blood after 15 min and the decline continued, leaving <1% in blood after 2 d; the losses occurred both to renal excretion and through uptake by other compartments. Estimated excretion up to 13 d was 83% (urine) and 1.8% (faeces). Whole-body retention of 15% at 13 d declined to similar to 4% at 1178 d, when the daily reduction corresponded to a biological half-life of 7 y, suggesting that sustained intake of dietary aluminium may lead to a progressively increasing internal deposit. 3 The metabolism of Ga-67 differed markedly from that of Al-26 in all aspects studied."
biochemistry , Polymerase chain reaction  , 1; 2-dicloropropane; dichloromethane; gpt delta rat; in vivo mutagenicity; liver        ,"1,2-Dichloropropane (1,2-DCP) and dichloromethane (DCM) are possible causative agents associated with the development of cholangiocarcinoma in employees working in printing plant in Osaka, Japan. However, few reports have demonstrated an association between these agents and cholangiocarcinoma in rodent carcinogenicity studies. Moreover, the combined effects of these compounds have not been fully elucidated. In the present study, we evaluated the in vivo mutagenicity of 1,2-DCP and DCM, alone or combined, in the livers of gpt delta rats. Six-week-old male F344 gpt delta rats were treated with 1,2-DCP, DCM or 1,2-DCP+DCM by oral administration for 4weeks at the dose (200mgkg(-1) body weight 1,2-DCP and 500mgkg(-1) body weight DCM) used in the carcinogenesis study performed by the National Toxicology Program. In vivo mutagenicity was analyzed by gpt mutation/Spi(-) assays in the livers of rats. In addition, gene and protein expression of CYP2E1 and GSTT1, the major enzymes responsible for the genotoxic effects of 1,2-DCP and DCM, were analyzed by quantitative polymerase chain reaction and western blotting. Gpt and Spi(-) mutation frequencies were not increased by 1,2-DCP and/or DCM in any group. Additionally, there were no significant changes in the gene and protein expression of CYP2E1 and GSTT1 in any group. These results indicated that 1,2-DCP, DCM and 1,2-DCP+DCM had no significant impact on mutagenicity in the livers of gpt delta rats under our experimental conditions. Copyright (c) 2016 John Wiley & Sons, Ltd."
Medical , Multiple Sclerosis  , Immunomodulation; Intestinal absorption; Blood-brain barrier diffusion; Cannabinoid CB2 receptor; 1   8-Naphthyridine-3-carboxamide derivative; Neurodegeneration       ,"1,2-Dihydro-4-hydroxy-2-oxo-1,8-naphthyridine-3-carboxamide derivative VL15 has been recently developed as a selective cannabinoid CB2 receptor compound. Given the high selectivity of this compound at the cannabinoid CB2 receptor and the well-known protective function of this receptor in neurological disorders with autoimmune component like multiple sclerosis, we assessed the immunomodulatory properties of VL15. We assessed on activated peripheral blood mononuclear cells), proliferation and viability, cell cycle progression and measured activation markers and the expression of phosphorylated proteins. We found that VL15 reduces PBMC proliferation slightly affecting cell vitality, blocks the cell cycle progression and down-regulates the levels of T cell activation markers as well as the expression of phosphorylated proteins, NF-kB, IKK alpha beta, IKB alpha, ERK and Akt. VL15 was also used in drug permeability assays on Caco-2 cell line to evaluate its oral bioavailability and on MDCKII-hMDR1 cell lines to estimate its propensity to cross the blood-brain barrier by passive diffusion, in order to potentially maintain its efficiency on the infiltrating auto-reactive lymphocytes in the central nervous system. In these models, VL15 showed high intestinal absorption and good blood-brain barrier penetration. Our findings suggest that VL15, by controlling the immune response, might find potential application as orally administered drug in pathologies like multiple sclerosis. (C) 2017 Elsevier B.V. and Societe Francaise de Biochimie et Biologie Moleculaire (SFBBM). All rights reserved."
